,Dependents,tenure,OnlineSecurity,OnlineBackup,InternetService,DeviceProtection,TechSupport,Contract,PaperlessBilling,MonthlyCharges,Churn
0,Yes,9,No,No,DSL,Yes,Yes,Month-to-month,Yes,72.9,Yes
1,No,14,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,82.65,No
2,No,64,Yes,No,DSL,Yes,Yes,Two year,No,47.85,Yes
3,No,72,Yes,Yes,DSL,Yes,Yes,Two year,No,69.65,No
4,No,3,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,23.6,No
5,Yes,40,No,No,DSL,Yes,No,Month-to-month,Yes,74.55,No
6,No,17,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.7,No
7,No,11,No,No,DSL,No,No,Month-to-month,Yes,44.05,Yes
8,No,8,No,No,Fiber optic,No,No,Month-to-month,Yes,73.5,No
9,Yes,47,Yes,No,DSL,Yes,Yes,One year,No,40.3,No
10,No,18,Yes,No,DSL,Yes,No,Month-to-month,No,33.6,No
11,No,5,No,Yes,Fiber optic,No,No,Month-to-month,Yes,96.25,Yes
12,Yes,1,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,70.45,No
13,No,1,No,No,DSL,No,Yes,Month-to-month,No,30.55,No
14,No,48,Yes,Yes,DSL,No,No,Month-to-month,Yes,44.8,No
15,Yes,13,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.0,No
16,No,17,No,No,Fiber optic,No,No,Month-to-month,No,81.5,Yes
17,Yes,58,No,No,Fiber optic,Yes,Yes,Two year,No,94.35,No
18,No,7,Yes,No,DSL,Yes,No,One year,No,35.3,No
19,No,4,No,Yes,DSL,No,No,Month-to-month,No,50.7,Yes
20,Yes,70,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,106.05,No
21,Yes,8,No,Yes,DSL,No,Yes,Month-to-month,No,56.3,No
22,Yes,34,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.65,No
23,Yes,31,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,98.9,Yes
24,Yes,37,Yes,Yes,DSL,Yes,No,Month-to-month,No,40.2,Yes
25,Yes,40,No,No,Fiber optic,Yes,No,Month-to-month,Yes,81.2,No
26,No,15,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.45,No
27,No,71,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,116.1,No
28,Yes,10,No,No,DSL,Yes,Yes,Month-to-month,No,55.2,Yes
29,No,5,No,No,Fiber optic,Yes,No,Month-to-month,Yes,94.45,Yes
30,No,43,No,No,Fiber optic,No,No,Month-to-month,Yes,84.85,No
31,No,22,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.6,No
32,No,33,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,79.0,No
33,Yes,69,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.7,No
34,Yes,1,No,Yes,Fiber optic,No,No,Month-to-month,Yes,74.7,Yes
35,No,54,No,Yes,DSL,No,No,Month-to-month,No,30.4,No
36,No,1,Yes,No,DSL,Yes,No,Month-to-month,Yes,55.8,Yes
37,No,63,Yes,Yes,Fiber optic,Yes,Yes,One year,No,104.5,No
38,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,70.55,Yes
39,No,71,Yes,Yes,DSL,No,Yes,Two year,No,73.5,No
40,Yes,55,No,No,DSL,Yes,Yes,Two year,Yes,55.25,No
41,Yes,13,No,No,Fiber optic,Yes,No,Month-to-month,Yes,96.65,Yes
42,No,4,No,No,Fiber optic,Yes,No,Month-to-month,Yes,88.85,Yes
43,Yes,66,Yes,Yes,Fiber optic,Yes,No,Two year,No,109.25,No
44,No,56,No,Yes,Fiber optic,Yes,No,Month-to-month,No,104.75,No
45,No,32,No,Yes,Fiber optic,No,No,Month-to-month,Yes,74.4,Yes
46,No,3,No,No,Fiber optic,No,No,Month-to-month,Yes,79.4,Yes
47,No,69,Yes,No,DSL,Yes,Yes,Two year,No,74.1,No
48,No,26,No,Yes,DSL,No,Yes,Month-to-month,Yes,73.05,No
49,No,24,Yes,No,Fiber optic,No,No,Month-to-month,Yes,94.6,No
50,No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,70.35,No
51,No,51,No,Yes,Fiber optic,No,No,One year,Yes,79.6,No
52,No,11,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,79.5,No
